"state","placefp14","cbsa","stab","placefp","placenm","placenm14","cbsaname15","pop10","afact"
"FIPS state","placefp14","CBSA current as of CBSAyr","State Postal Code","placefp","placenm","Place Name 2014","2015 CBSA Name","Total Pop, 2010 census","placefp14 to cbsa alloc factor"
"01","00100","46740","AL"," "," ","Abanda CDP, AL","Valley, AL (Micro)",192,1 
"01","00124","20020","AL"," "," ","Abbeville city, AL","Dothan, AL (Metro)",2688,1 
"01","00460","13820","AL"," "," ","Adamsville city, AL","Birmingham-Hoover, AL (Metro)",4522,1 
"01","00484"," ","AL"," "," ","Addison town, AL"," ",758,1 
"01","00676","46220","AL"," "," ","Akron town, AL","Tuscaloosa, AL (Metro)",356,1 
"01","00820","13820","AL"," "," ","Alabaster city, AL","Birmingham-Hoover, AL (Metro)",30530,1 
"01","00988","10700","AL"," "," ","Albertville city, AL","Albertville, AL (Micro)",21160,1 
"01","01132","10760","AL"," "," ","Alexander City city, AL","Alexander City, AL (Micro)",14875,1 
"01","01180","11500","AL"," "," ","Alexandria CDP, AL","Anniston-Oxford-Jacksonville, AL (Metro)",3917,1 
"01","01228","46220","AL"," "," ","Aliceville city, AL","Tuscaloosa, AL (Metro)",2486,1 
"01","01396","13820","AL"," "," ","Allgood town, AL","Birmingham-Hoover, AL (Metro)",622,1 
"01","01660","13820","AL"," "," ","Altoona town, AL","Birmingham-Hoover, AL (Metro)",30,0.032 
"01","01660","23460","AL"," "," ","Altoona town, AL","Gadsden, AL (Metro)",903,0.968 
"01","01708"," ","AL"," "," ","Andalusia city, AL"," ",9015,1 
"01","01756","22520","AL"," "," ","Anderson town, AL","Florence-Muscle Shoals, AL (Metro)",282,1 
"01","01852","11500","AL"," "," ","Anniston city, AL","Anniston-Oxford-Jacksonville, AL (Metro)",23106,1 
"01","02116","10700","AL"," "," ","Arab city, AL","Albertville, AL (Micro)",8023,0.997 
"01","02116","18980","AL"," "," ","Arab city, AL","Cullman, AL (Micro)",27,0.003 
"01","02260","26620","AL"," "," ","Ardmore town, AL","Huntsville, AL (Metro)",1194,1 
"01","02320","13820","AL"," "," ","Argo town, AL","Birmingham-Hoover, AL (Metro)",4071,1 
"01","02428","37120","AL"," "," ","Ariton town, AL","Ozark, AL (Micro)",764,1 
"01","02500"," ","AL"," "," ","Arley town, AL"," ",357,1 
"01","02836","20020","AL"," "," ","Ashford town, AL","Dothan, AL (Metro)",2150,1 
"01","02860"," ","AL"," "," ","Ashland town, AL"," ",2037,1 
"01","02908","13820","AL"," "," ","Ashville city, AL","Birmingham-Hoover, AL (Metro)",2212,1 
"01","02956","26620","AL"," "," ","Athens city, AL","Huntsville, AL (Metro)",21897,1 
"01","03004","12120","AL"," "," ","Atmore city, AL","Atmore, AL (Micro)",10194,1 
"01","03028","23460","AL"," "," ","Attalla city, AL","Gadsden, AL (Metro)",6048,1 
"01","03076","12220","AL"," "," ","Auburn city, AL","Auburn-Opelika, AL (Metro)",53395,1 
"01","03220","33860","AL"," "," ","Autaugaville town, AL","Montgomery, AL (Metro)",870,1 
"01","03364","20020","AL"," "," ","Avon town, AL","Dothan, AL (Metro)",543,1 
"01","03508","33660","AL"," "," ","Axis CDP, AL","Mobile, AL (Metro)",757,1 
"01","03556"," ","AL"," "," ","Babbie town, AL"," ",603,1 
"01","03676","18980","AL"," "," ","Baileyton town, AL","Cullman, AL (Micro)",610,1 
"01","03724","21640","AL"," "," ","Bakerhill town, AL","Eufaula, AL-GA (Micro)",279,1 
"01","03820","23460","AL"," "," ","Ballplay CDP, AL","Gadsden, AL (Metro)",1580,1 
"01","03940","45980","AL"," "," ","Banks town, AL","Troy, AL (Micro)",179,1 
"01","04660","19300","AL"," "," ","Bay Minette city, AL","Daphne-Fairhope-Foley, AL (Metro)",8309,1 
"01","04684","33660","AL"," "," ","Bayou La Batre city, AL","Mobile, AL (Metro)",2558,1 
"01","04852"," ","AL"," "," ","Bear Creek town, AL"," ",1070,1 
"01","04900"," ","AL"," "," ","Beatrice town, AL"," ",301,1 
"01","04948"," ","AL"," "," ","Beaverton town, AL"," ",201,1 
"01","05140"," ","AL"," "," ","Belgreen CDP, AL"," ",129,1 
"01","05164"," ","AL"," "," ","Belk town, AL"," ",215,1 
"01","05188"," ","AL"," "," ","Bellamy CDP, AL"," ",543,1 
"01","05212","33660","AL"," "," ","Belle Fontaine CDP, AL","Mobile, AL (Metro)",608,1 
"01","05692","33860","AL"," "," ","Benton town, AL","Montgomery, AL (Metro)",49,1 
"01","05932"," ","AL"," "," ","Berry town, AL"," ",1148,1 
"01","05980","13820","AL"," "," ","Bessemer city, AL","Birmingham-Hoover, AL (Metro)",27463,1 
"01","06460","33860","AL"," "," ","Billingsley town, AL","Montgomery, AL (Metro)",144,1 
"01","07000","13820","AL"," "," ","Birmingham city, AL","Birmingham-Hoover, AL (Metro)",212147,1 
"01","07120","20020","AL"," "," ","Black town, AL","Dothan, AL (Metro)",207,1 
"01","07456","13820","AL"," "," ","Blountsville town, AL","Birmingham-Hoover, AL (Metro)",1684,1 
"01","07588","33860","AL"," "," ","Blue Ridge CDP, AL","Montgomery, AL (Metro)",1341,1 
"01","07672","21640","AL"," "," ","Blue Springs town, AL","Eufaula, AL-GA (Micro)",96,1 
"01","07912","10700","AL"," "," ","Boaz city, AL","Albertville, AL (Micro)",8442,0.884 
"01","07912","23460","AL"," "," ","Boaz city, AL","Gadsden, AL (Metro)",1109,0.116 
"01","08104"," ","AL"," "," ","Boligee town, AL"," ",328,1 
"01","08248","45180","AL"," "," ","Bon Air town, AL","Talladega-Sylacauga, AL (Micro)",116,1 
"01","08680"," ","AL"," "," ","Boykin CDP, AL"," ",275,1 
"01","09016"," ","AL"," "," ","Brantley town, AL"," ",809,1 
"01","09064","13820","AL"," "," ","Brantleyville CDP, AL","Birmingham-Hoover, AL (Metro)",884,1 
"01","09136","13820","AL"," "," ","Brent city, AL","Birmingham-Hoover, AL (Metro)",4947,1 
"01","09208","12120","AL"," "," ","Brewton city, AL","Atmore, AL (Micro)",5408,1 
"01","09328","42460","AL"," "," ","Bridgeport city, AL","Scottsboro, AL (Micro)",2418,1 
"01","09400","13820","AL"," "," ","Brighton city, AL","Birmingham-Hoover, AL (Metro)",2945,1 
"01","09424"," ","AL"," "," ","Brilliant town, AL"," ",900,1 
"01","09457","23460","AL"," "," ","Bristow Cove CDP, AL","Gadsden, AL (Metro)",683,1 
"01","09500","13820","AL"," "," ","Brook Highland CDP, AL","Birmingham-Hoover, AL (Metro)",6746,1 
"01","09736","13820","AL"," "," ","Brookside town, AL","Birmingham-Hoover, AL (Metro)",1363,1 
